Matrix Size,Time (ms),Type
5,0.121,OpenMP_1
8,0.253,OpenMP_1
10,0.37,OpenMP_1
20,1.463,OpenMP_1
30,2.499,OpenMP_1
40,5.52,OpenMP_1
50,7.578,OpenMP_1
60,12.777,OpenMP_1
70,17.083,OpenMP_1
80,17.538,OpenMP_1
90,22.042,OpenMP_1
100,22.89,OpenMP_1
200,121.234,OpenMP_1
300,369.884,OpenMP_1
400,827.791,OpenMP_1
500,1565.593,OpenMP_1
600,2651.342,OpenMP_1
700,4164.678,OpenMP_1
1000,11493.334,OpenMP_1
1500,41090.131,OpenMP_1
2000,88801.955,OpenMP_1
2500,171413.316,OpenMP_1
3000,300495.513,OpenMP_1
5,0.162,OpenMP_2
8,0.261,OpenMP_2
10,0.332,OpenMP_2
20,0.84,OpenMP_2
30,1.635,OpenMP_2
40,2.752,OpenMP_2
50,4.311,OpenMP_2
60,6.283,OpenMP_2
70,8.82,OpenMP_2
80,11.932,OpenMP_2
90,15.743,OpenMP_2
100,19.933,OpenMP_2
200,117.242,OpenMP_2
300,349.695,OpenMP_2
400,782.321,OpenMP_2
500,1472.878,OpenMP_2
600,2486.085,OpenMP_2
700,3894.028,OpenMP_2
1000,11072.13,OpenMP_2
1500,36459.045,OpenMP_2
2000,85428.436,OpenMP_2
2500,166460.963,OpenMP_2
3000,284515.887,OpenMP_2
5,0.774,OpenMP_8
8,3.746,OpenMP_8
10,4.064,OpenMP_8
20,8.696,OpenMP_8
30,9.581,OpenMP_8
40,12.307,OpenMP_8
50,16.456,OpenMP_8
60,17.414,OpenMP_8
70,23.187,OpenMP_8
80,27.04,OpenMP_8
90,30.637,OpenMP_8
100,36.989,OpenMP_8
200,154.717,OpenMP_8
300,440.172,OpenMP_8
400,949.491,OpenMP_8
500,1791.101,OpenMP_8
600,2966.894,OpenMP_8
700,4573.838,OpenMP_8
1000,12667.452,OpenMP_8
1500,40838.931,OpenMP_8
2000,94185.934,OpenMP_8
2500,181637.131,OpenMP_8
3000,313730.471,OpenMP_8
