Matrix Size,Time (ms),Type,Speed-Up
5,0.015,MPI_1,0.2
8,0.016,MPI_1,0.4375
10,0.021,MPI_1,0.47619047619047616
20,0.103,MPI_1,0.6310679611650486
30,0.246,MPI_1,0.8577235772357723
40,0.563,MPI_1,0.8632326820603908
50,1.114,MPI_1,0.8815080789946139
60,1.804,MPI_1,0.9190687361419068
70,5.405,MPI_1,4.954856614246068
80,4.202,MPI_1,9.538791051880057
90,6.083,MPI_1,4.234259411474602
100,8.198,MPI_1,21.578189802390824
200,64.875,MPI_1,20.663922928709056
300,219.627,MPI_1,20.175028571168387
400,519.085,MPI_1,7.132833736285964
500,1012.753,MPI_1,13.571046444690857
600,1782.441,MPI_1,11.795843452882872
700,2766.517,MPI_1,12.969130498746258
1000,8087.036,MPI_1,15.748696432166247
1500,27786.578,MPI_1,16.95081485024892
2000,66098.626,MPI_1,
2500,128793.182,MPI_1,
3000,221983.303,MPI_1,
5,0.012,MPI_16,0.25
8,0.013,MPI_16,0.5384615384615385
10,0.018,MPI_16,0.5555555555555556
20,0.073,MPI_16,0.8904109589041097
30,0.206,MPI_16,1.0242718446601942
40,0.478,MPI_16,1.0167364016736402
50,0.895,MPI_16,1.0972067039106146
60,1.564,MPI_16,1.0601023017902813
70,2.394,MPI_16,11.186716791979949
80,3.565,MPI_16,11.243197755960729
90,5.137,MPI_16,5.0140159626241
100,6.9,MPI_16,25.637391304347823
200,53.733,MPI_16,24.94876519085106
300,181.657,MPI_16,24.39201902486554
400,429.352,MPI_16,8.62356993795301
500,837.384,MPI_16,16.41316050939593
600,1442.698,MPI_16,14.573663372375924
700,2292.112,MPI_16,15.653388665126311
1000,6689.741,MPI_16,19.038147366243326
1500,23023.231,MPI_16,20.45782101565154
2000,55348.587,MPI_16,
2500,108174.642,MPI_16,
3000,186602.443,MPI_16,
5,0.016,MPI_2,0.1875
8,0.017,MPI_2,0.4117647058823529
10,0.021,MPI_2,0.47619047619047616
20,0.079,MPI_2,0.8227848101265823
30,0.222,MPI_2,0.9504504504504504
40,0.489,MPI_2,0.9938650306748467
50,0.935,MPI_2,1.0502673796791444
60,1.59,MPI_2,1.0427672955974843
70,2.5,MPI_2,10.712399999999999
80,3.662,MPI_2,10.945385035499728
90,5.259,MPI_2,4.89769918235406
100,7.151,MPI_2,24.73751922807999
200,55.664,MPI_2,24.083285426846793
300,188.081,MPI_2,23.558897496291493
400,444.027,MPI_2,8.338562745058296
500,865.032,MPI_2,15.888565972125887
600,1500.604,MPI_2,14.011288121316483
700,2401.378,MPI_2,14.94113796328608
1000,7152.253,MPI_2,17.80701479659626
1500,24935.576,MPI_2,18.888881451946407
2000,58844.246,MPI_2,
2500,113976.498,MPI_2,
3000,196317.568,MPI_2,
5,0.016,MPI_32,0.1875
8,0.019,MPI_32,0.368421052631579
10,0.022,MPI_32,0.4545454545454546
20,0.083,MPI_32,0.7831325301204819
30,0.243,MPI_32,0.8683127572016461
40,0.508,MPI_32,0.9566929133858267
50,0.973,MPI_32,1.0092497430626928
60,1.635,MPI_32,1.0140672782874618
70,2.545,MPI_32,10.522986247544203
80,3.843,MPI_32,10.429872495446267
90,5.379,MPI_32,4.788436512362893
100,7.379,MPI_32,23.973167095812443
200,57.409,MPI_32,23.351251545924853
300,196.984,MPI_32,22.494116273402913
400,467.805,MPI_32,7.914723014931435
500,904.678,MPI_32,15.192276146872148
600,1562.384,MPI_32,13.45725186637856
700,2543.543,MPI_32,14.106040275316753
1000,7320.467,MPI_32,17.397834728303536
1500,25389.911,MPI_32,18.550877905794945
2000,59767.982,MPI_32,
2500,116166.305,MPI_32,
3000,200023.427,MPI_32,
5,0.035,MPI_8,0.0857142857142857
8,0.04,MPI_8,0.175
10,0.034,MPI_8,0.29411764705882354
20,0.238,MPI_8,0.273109243697479
30,0.58,MPI_8,0.36379310344827587
40,1.616,MPI_8,0.30074257425742573
50,1.611,MPI_8,0.6095592799503414
60,2.621,MPI_8,0.6325829835940481
70,4.068,MPI_8,6.583333333333334
80,5.937,MPI_8,6.751221155465723
90,7.164,MPI_8,3.5953378001116696
100,9.508,MPI_8,18.6051745898191
200,53.884,MPI_8,24.878850864820723
300,181.724,MPI_8,24.383025907420045
400,428.223,MPI_8,8.646305779932419
500,836.218,MPI_8,16.436046581154677
600,1444.066,MPI_8,14.559857374939927
700,2293.147,MPI_8,15.646323589373033
1000,6683.857,MPI_8,19.054907218990472
1500,22972.575,MPI_8,20.502931821965976
2000,54971.893,MPI_8,
2500,107374.122,MPI_8,
3000,185532.712,MPI_8,
