Matrix Size,Time (ms),Type,Speed-Up
5,0.121,OpenMP_1,0.024793388429752067
8,0.253,OpenMP_1,0.02766798418972332
10,0.37,OpenMP_1,0.02702702702702703
20,1.463,OpenMP_1,0.04442925495557074
30,2.499,OpenMP_1,0.08443377350940376
40,5.52,OpenMP_1,0.08804347826086957
50,7.578,OpenMP_1,0.12958564264977565
60,12.777,OpenMP_1,0.12976442044298347
70,17.083,OpenMP_1,1.5676988819294035
80,17.538,OpenMP_1,2.2854373360702476
90,22.042,OpenMP_1,1.1685418746030305
100,22.89,OpenMP_1,7.728178243774574
200,121.234,OpenMP_1,11.057723080983882
300,369.884,OpenMP_1,11.979380021844685
400,827.791,OpenMP_1,4.472804125679066
500,1565.593,OpenMP_1,8.778857595811939
600,2651.342,OpenMP_1,7.930095400744227
700,4164.678,OpenMP_1,8.615148638142012
1000,11493.334,OpenMP_1,11.081229780671125
1500,41090.131,OpenMP_1,11.462731501148049
2000,88801.955,OpenMP_1,
2500,171413.316,OpenMP_1,
3000,300495.513,OpenMP_1,
5,1.624,OpenMP_16,0.0018472906403940886
8,2.46,OpenMP_16,0.002845528455284553
10,3.03,OpenMP_16,0.003300330033003301
20,5.894,OpenMP_16,0.011028164234815067
30,9.45,OpenMP_16,0.02232804232804233
40,12.954,OpenMP_16,0.03751736915238536
50,17.274,OpenMP_16,0.05684844274632395
60,21.901,OpenMP_16,0.07570430573946395
70,27.144,OpenMP_16,0.9866268788682582
80,32.91,OpenMP_16,1.2179276815557583
90,39.415,OpenMP_16,0.6534821768362299
100,47.011,OpenMP_16,3.762906553785284
200,178.082,OpenMP_16,7.527835491515145
300,459.233,OpenMP_16,9.648655475542915
400,961.42,OpenMP_16,3.8511233383952903
500,1741.784,OpenMP_16,7.890828024600065
600,2870.548,OpenMP_16,7.32452305274115
700,4415.879,OpenMP_16,8.125068644317473
1000,12205.488,OpenMP_16,10.434672911070823
1500,39644.919,OpenMP_16,11.880592794249372
2000,92792.181,OpenMP_16,
2500,179142.267,OpenMP_16,
3000,307840.211,OpenMP_16,
5,0.162,OpenMP_2,0.018518518518518517
8,0.261,OpenMP_2,0.02681992337164751
10,0.332,OpenMP_2,0.030120481927710843
20,0.84,OpenMP_2,0.07738095238095238
30,1.635,OpenMP_2,0.1290519877675841
40,2.752,OpenMP_2,0.17659883720930233
50,4.311,OpenMP_2,0.22778937601484575
60,6.283,OpenMP_2,0.26388667833837337
70,8.82,OpenMP_2,3.036394557823129
80,11.932,OpenMP_2,3.3592021454911163
90,15.743,OpenMP_2,1.636092231467954
100,19.933,OpenMP_2,8.874630010535293
200,117.242,OpenMP_2,11.434230054076183
300,349.695,OpenMP_2,12.670987574886686
400,782.321,OpenMP_2,4.732772097387134
500,1472.878,OpenMP_2,9.33147076675733
600,2486.085,OpenMP_2,8.457230947453526
700,3894.028,OpenMP_2,9.2139347739667
1000,11072.13,OpenMP_2,11.50277995290879
1500,36459.045,OpenMP_2,12.918745924365272
2000,85428.436,OpenMP_2,
2500,166460.963,OpenMP_2,
3000,284515.887,OpenMP_2,
5,5.982,OpenMP_32,0.0005015045135406219
8,11.596,OpenMP_32,0.0006036564332528459
10,11.775,OpenMP_32,0.0008492569002123143
20,18.905,OpenMP_32,0.003438243850833113
30,24.792,OpenMP_32,0.0085108099386899
40,28.601,OpenMP_32,0.01699241285269746
50,35.46,OpenMP_32,0.027693175408911447
60,41.916,OpenMP_32,0.03955530107834717
70,48.872,OpenMP_32,0.5479824848584056
80,58.977,OpenMP_32,0.6796208691523815
90,65.029,OpenMP_32,0.39608482369404424
100,74.123,OpenMP_32,2.3865466859139537
200,219.845,OpenMP_32,6.097805271896108
300,509.677,OpenMP_32,8.693704051781815
400,1002.8,OpenMP_32,3.6922088153171124
500,1759.152,OpenMP_32,7.812922362592886
600,2842.439,OpenMP_32,7.3969555723095555
700,4323.889,OpenMP_32,8.297928092048616
1000,11646.565,OpenMP_32,10.935436757533228
1500,37140.817,OpenMP_32,12.681604149957176
2000,86183.834,OpenMP_32,
2500,166198.976,OpenMP_32,
3000,284339.918,OpenMP_32,
5,0.774,OpenMP_8,0.003875968992248062
8,3.746,OpenMP_8,0.0018686599038974907
10,4.064,OpenMP_8,0.0024606299212598425
20,8.696,OpenMP_8,0.007474701011959522
30,9.581,OpenMP_8,0.02202275336603695
40,12.307,OpenMP_8,0.03948972129682295
50,16.456,OpenMP_8,0.05967428293631502
60,17.414,OpenMP_8,0.09521074997128745
70,23.187,OpenMP_8,1.155000646914219
80,27.04,OpenMP_8,1.4823224852071006
90,30.637,OpenMP_8,0.84071547475275
100,36.989,OpenMP_8,4.782448836140475
200,154.717,OpenMP_8,8.664671626259556
300,440.172,OpenMP_8,10.066476286542532
400,949.491,OpenMP_8,3.8995072096523296
500,1791.101,OpenMP_8,7.673558330881396
600,2966.894,OpenMP_8,7.086668751900136
700,4573.838,OpenMP_8,7.844466725756356
1000,12667.452,OpenMP_8,10.054135196249412
1500,40838.931,OpenMP_8,11.533238688348627
2000,94185.934,OpenMP_8,
2500,181637.131,OpenMP_8,
3000,313730.471,OpenMP_8,
