size,nthreads,run_id,time
32,8,1,0.000304
32,8,2,0.000279
32,8,3,0.000281
32,8,4,0.000272
32,8,5,0.000272
64,8,1,0.002244
64,8,2,0.002200
64,8,3,0.002187
64,8,4,0.002197
64,8,5,0.002189
128,8,1,0.017318
128,8,2,0.017233
128,8,3,0.017240
128,8,4,0.017224
128,8,5,0.017225
256,8,1,0.137058
256,8,2,0.136701
256,8,3,0.136667
256,8,4,0.136595
256,8,5,0.136617
512,8,1,1.091753
512,8,2,1.092164
512,8,3,1.090542
512,8,4,1.090865
512,8,5,1.090464
1024,8,1,8.703815
1024,8,2,8.698453
1024,8,3,8.707828
1024,8,4,8.706893
1024,8,5,8.708217
2048,8,1,71.076101
2048,8,2,71.104338
2048,8,3,71.123812
2048,8,4,71.132645
2048,8,5,71.135158
4096,8,1,568.826203
4096,8,2,568.739133
4096,8,3,568.765619
4096,8,4,568.608326
4096,8,5,568.773808
32,1,1,0.000460
32,1,2,0.000438
32,1,3,0.000437
32,1,4,0.000422
32,1,5,0.000434
64,1,1,0.002903
64,1,2,0.002825
64,1,3,0.002840
64,1,4,0.002873
64,1,5,0.002799
128,1,1,0.021443
128,1,2,0.021399
128,1,3,0.021542
128,1,4,0.021589
128,1,5,0.021648
256,1,1,0.169442
256,1,2,0.168651
256,1,3,0.168898
256,1,4,0.168557
256,1,5,0.168251
512,1,1,1.347762
512,1,2,1.335555
512,1,3,1.351109
512,1,4,1.354238
512,1,5,1.350082
1024,1,1,10.744791
1024,1,2,10.746840
1024,1,3,10.741036
1024,1,4,10.740918
1024,1,5,10.744449
2048,1,1,86.409158
2048,1,2,86.438691
2048,1,3,86.377762
2048,1,4,86.256284
2048,1,5,86.219483
4096,1,1,695.412305
4096,1,2,794.395809
4096,1,3,841.227423
4096,1,4,822.056797
4096,1,5,886.832416
